QRIE Report — Punjab National Bank
Generated: 2026-03-30 14:21:56

═══ Asset Inventory Report ═══

Total Assets,451

asset,ip,port,asset_type,tls_version,cipher_suite,key_exchange,key_size,pfs_status,issuer_ca,valid_to,scan_status,hei_score,risk_category
egstxp.pnbuat.bank.in,2001:df1:1580::225:53,443,Ssl Certificate,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-02T23:59:59+00:00,ok,35.0,Moderate
elvkyc.pnbindia.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
email.pnb.bank.in,1.6.46.95,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
emandate.pnb.bank.in,103.109.225.229,443,Unknown,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-22T23:59:59+00:00,ok,45.0,Moderate
eots.pnb.bank.in,103.109.224.126,443,Unknown,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-22T23:59:59+00:00,ok,45.0,Moderate
epayment.pnb.bank.in,103.109.225.239,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-21T23:59:59+00:00,ok,45.0,Moderate
epayment.pnbuat.bank.in,2001:df1:1580::224:6,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-06-29T23:59:59+00:00,ok,35.0,Moderate
etender.pnb.bank.in,103.109.225.164,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-09-08T23:59:59+00:00,ok,45.0,Moderate
fastag-branch.pnb.bank.in,10.170.0.172,443,Domain,,,,,Unknown,—,,error,80.0,Critical
fastag.pnb.bank.in,13.205.57.160,443,Api,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2026-10-27T09:41:06+00:00,ok,45.0,Moderate
fcssgift.pnbuat.bank.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
feepayment.pnb.bank.in,103.109.225.67,443,Unknown,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GeoTrust EV RSA CA G2,2026-07-22T23:59:59+00:00,ok,35.0,Moderate
fip-admin.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
fiu-admin.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
gateway.netpnb.com,,443,Api,,,,,Unknown,—,,error,80.0,Critical
gemsahay.pnbuat.bank.in,,443,Domain,,,,,Unknown,—,,error,80.0,Critical
geniuscrm.pnb.bank.in,,443,Unknown,,,,,Unknown,—,,error,80.0,Critical
giftcorpbanking.pnb.bank.in,103.109.225.254,443,Web Application,TLSv1.3,TLS_AES_128_GCM_SHA256,ECDHE,2048,Yes,GlobalSign GCC R3 EV TLS CA 2025,2026-10-27T10:26:06+00:00,ok,45.0,Moderate
giftretail.pnbuat.bank.in,103.109.225.1,443,Domain,,,,,Unknown,—,,error,80.0,Critical
